strategy,strategy_name,scenario,scenario_name,trial,throughput_records_per_sec,recovery_latency_ms,duplicate_records,duplicate_rate_pct,records_lost,checkpoint_write_ms,records_processed
C,Async WAL Checkpointing,baseline,Baseline (No Failure),1,49781.6,0,0,0.0,0,680.7,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),2,47020.3,0,0,0.0,0,857.6,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),3,46603.5,0,0,0.0,0,811.9,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),4,47068.9,0,0,0.0,0,854.7,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),5,45972.1,0,0,0.0,0,469.9,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),6,48051.8,0,0,0.0,0,873.1,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),7,45875.6,0,0,0.0,0,448.6,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),8,48256.2,0,0,0.0,0,843.6,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),9,47657.9,0,0,0.0,0,735.2,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),10,47824.5,0,0,0.0,0,771.6,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),11,48072.6,0,0,0.0,0,771.1,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),12,45944.7,0,0,0.0,0,477.3,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),13,45871.3,0,0,0.0,0,644.7,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),14,46872.4,0,0,0.0,0,604.1,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),15,46893.7,0,0,0.0,0,585.3,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),16,46376.2,0,0,0.0,0,621.7,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),17,49496.2,0,0,0.0,0,449.7,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),18,45538.0,0,0,0.0,0,742.8,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),19,42254.8,0,0,0.0,0,579.3,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),20,45282.1,0,0,0.0,0,599.1,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),21,46801.6,0,0,0.0,0,824.0,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),22,47259.0,0,0,0.0,0,627.4,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),23,45305.5,0,0,0.0,0,698.6,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),24,44543.4,0,0,0.0,0,410.7,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),25,46773.9,0,0,0.0,0,463.0,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),26,45336.3,0,0,0.0,0,682.3,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),27,48974.4,0,0,0.0,0,503.6,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),28,47638.1,0,0,0.0,0,508.0,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),29,47475.6,0,0,0.0,0,473.8,1000000
C,Async WAL Checkpointing,baseline,Baseline (No Failure),30,45457.1,0,0,0.0,0,850.3,1000000
